;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
;sum;min;max;mean;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean
DATA (YYYY-MM-DD);;;;;;;;;;;;;;;;;;;;;;;
2008-01-01;0.0;943.0;943.0;943.0;;21.0;29.0;25.0;18.0;20.0;19.0;49.0;84.0;69.41666666666667;23.0;260.0;103.5;4.0;4.0;4.0;3.0;3.0;3.0
2008-01-02;0.0;940.0;942.0;941.25;2442.5;19.0;19.0;19.0;16.0;18.0;17.2;52.0;88.0;72.66666666666667;38.0;339.0;112.875;5.0;5.0;5.0;1.0;2.0;1.6666666666666667
2008-01-03;0.0;;;;447.0;27.0;27.0;27.0;17.0;20.0;18.5;63.0;92.0;78.25;25.0;348.0;152.875;3.0;7.0;5.5;2.0;3.0;2.5
2008-01-04;0.0;943.0;943.0;943.0;1771.0;25.0;25.0;25.0;19.0;20.0;19.857142857142858;61.0;96.0;82.08333333333333;33.0;341.0;174.66666666666666;2.0;9.0;5.333333333333333;0.0;2.0;1.2
2008-01-05;0.0;945.0;945.0;945.0;28.0;23.0;26.0;24.666666666666668;16.0;19.0;17.75;55.0;97.0;79.08333333333333;92.0;239.0;163.0;3.0;9.0;6.833333333333333;0.0;3.0;1.3333333333333333
2008-01-06;0.0;941.0;941.0;941.0;2755.0;26.0;26.0;26.0;15.0;18.0;16.4;53.0;97.0;76.5;84.0;197.0;140.20833333333334;6.0;6.0;6.0;1.0;3.0;2.0
2008-01-07;0.0;939.0;942.0;941.1666666666666;547.0;28.0;28.0;28.0;14.0;16.0;14.666666666666666;41.0;92.0;68.95833333333333;12.0;307.0;137.83333333333334;3.0;7.0;5.75;2.0;5.0;3.3333333333333335
2008-01-08;0.0;940.0;941.0;940.3333333333334;2927.0;28.0;28.0;28.0;9.0;18.0;13.5;18.0;91.0;62.791666666666664;3.0;329.0;138.20833333333334;7.0;7.0;7.0;2.0;3.0;2.2
2008-01-09;0.0;940.0;940.0;940.0;;;;;16.0;16.0;16.0;39.0;82.0;62.791666666666664;39.0;356.0;125.45833333333333;2.0;7.0;4.571428571428571;0.0;3.0;1.6666666666666667
2008-01-10;0.0;936.0;937.0;936.6666666666666;2438.0;23.0;27.0;25.0;16.0;16.0;16.0;35.0;88.0;60.125;13.0;356.0;140.91666666666666;5.0;8.0;6.5;0.0;2.0;1.0
2008-01-11;0.0;935.0;941.0;938.6666666666666;1886.3333333333333;19.0;24.0;21.2;15.0;16.0;15.5;47.0;94.0;76.58333333333333;29.0;270.0;127.54166666666667;5.0;11.0;8.0;3.0;4.0;3.25
