Ano;Afeganistão;África do Sul;Alemanha, República Democrática;Angola;Anguilla;Antígua e Barbuda;Antilhas Holandesas;Argentina;Aruba;Austrália;Áustria;Bahamas;Bangladesh;Barbados;Barein;Bélgica;Belice;Benin;Bolívia;Bósnia-Herzegovina;Brasil;Bulgária;Cabo Verde;Camarões;Canadá;Catar;Cayman, Ilhas;Chile;China;Chipre;Cingapura;Cocos (Keeling), Ilhas;Colômbia;Comores;Congo;Coreia, Republica Sul;Costa Rica;Croácia;Cuba;Curaçao;Dinamarca;Dominica;El Salvador;Emirados Arabes Unidos;Equador;Eslovaca, Republica;Espanha;Estados Unidos;Estônia;Filipinas;Finlândia;França;Gana;Gibraltar;Granada;Grécia;Guatemala;Guiana;Guiana Francesa;Guine Bissau;Guine Equatorial;Haiti;Honduras;Hong Kong;Hungria;Ilha de Man;India;Indonésia;Irã;Irlanda;Itália;Japão;Jordânia;Letônia;Libéria;Luxemburgo;Malásia;Malta;Marshall, Ilhas;Mauritânia;México;Moçambique;Montenegro;Namibia;Nicaragua;Nigéria;Noruega;Nova Caledônia;Nova Zelândia;Omã;Países Baixos;Panamá;Paraguai;Peru;Polônia;Portugal;Quênia;Reino Unido;Rússia;São Tomé e Príncipe;São Vicente e Granadinas;Serra Leoa;Singapura;Suazilândia;Suécia;Suíça;Suriname;Tailândia;Taiwan (FORMOSA);Tcheca, República;Togo;Trinidade Tobago;Turquia;Tuvalu;Uruguai;Vanuatu;Venezuela;Vietnã
2008(L);0;0;265742;25721;0;0;17938;0;0;218726;0;0;0;0;0;3523;0;10350;3979;0;0;0;0;0;20949;0;0;0;8689;0;1233;0;0;0;0;3520;55;0;0;0;518;0;0;2437;0;585;2942;443895;4114;0;0;11078;18168;0;0;0;0;0;0;0;548;20;162;2430;0;0;0;0;0;0;0;232293;0;0;0;13606;0;0;0;0;0;0;0;340;0;7560;0;0;0;0;340412;1161;2191901;0;20290;49090;0;100097;6207658;0;0;0;0;0;26984;54384;900;0;10030;17135;5160;0;0;0;0;0;0;0
2009(L);0;0;225086;54786;0;0;8235;162;0;1014;0;0;0;0;0;125962;0;0;40463;0;0;0;0;0;15664;0;0;1475;1553416;0;2419;0;0;0;0;0;0;0;0;0;1980;0;55;1398;0;0;2181;372319;5438;0;0;0;0;0;0;0;20;0;0;0;169;4500;14;50319;0;0;0;0;0;0;1817;217974;0;0;0;7845;0;0;0;0;0;0;0;0;24;41;0;0;0;0;171654;24;486927;0;6982;141000;0;30092;21912914;0;0;0;0;0;28334;27653;3830;0;0;9269;0;0;0;0;0;0;0;743
2010(L);0;0;27715;33557;0;0;9810;0;0;1823;0;3175;0;0;0;42532;0;0;54;0;0;0;11991;0;0;0;0;0;795;0;1533;0;0;0;0;0;0;0;0;0;7034;0;0;1035;0;0;0;228968;15848;0;0;3614;0;0;0;0;0;783;0;0;410;2700;0;0;540;0;0;0;0;3969;1458;112178;0;0;0;7344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87368;0;510989;0;20464;4577;0;123624;0;0;0;0;0;0;0;2025;1836;0;0;1091;0;0;0;0;914;0;0;8820
2011(L);0;0;36070;13889;0;0;7335;13253;900;3632;0;4529;0;0;0;11802;0;0;12775;0;0;0;600;0;28906;0;0;0;54156;0;911;0;0;0;360;0;0;0;2880;0;32797;0;0;2120;0;0;5206;306787;450;0;12404;0;0;0;0;0;0;0;0;0;956;0;0;2063;0;0;0;0;0;5376;11999;100835;0;0;0;9547;0;0;0;0;1350;0;0;0;0;54;10268;0;2587;0;125414;0;240168;0;11732;95;0;122629;0;0;0;0;0;0;1641;0;3774;0;4500;6846;0;0;0;0;1238;0;0;0
2012(L);0;0;8189;2833;0;0;9247;0;0;9345;0;1374;0;0;0;16132;0;0;11868;0;0;0;0;0;14304;0;0;8550;87905;0;1212;0;0;0;0;0;0;0;0;0;4716;0;0;675;0;0;0;146585;3321;0;17100;195604;0;0;0;0;0;0;0;0;819;0;0;1609;0;0;0;0;0;0;792;29281;0;0;0;2444;0;0;0;0;0;0;0;0;0;6449;5104;0;2364;0;134879;39;354824;0;21663;47172;94;82937;4528176;0;0;0;0;0;2705;4014;396;0;0;7960;0;531;0;0;1135;0;1029;0
2013(L);0;0;61699;1573;0;0;11281;0;0;16707;0;581;0;0;0;22461;0;0;19147;0;0;0;0;0;25329;0;0;0;40929;0;766;0;8;0;0;0;0;0;0;0;17892;0;0;0;0;0;1972980;245368;0;0;36682;6885;0;0;0;0;0;0;0;0;1108;0;0;16013;0;0;0;0;0;0;1710;91988;0;0;0;5135;0;0;0;0;0;0;0;0;0;1350;2375;0;1004;0;57792;0;481564;0;19249;23810;6;59161;5893291;0;0;0;0;0;3195;2997;1800;0;0;3697;0;0;0;0;1526;0;0;0
2014(L);0;0;213348;12182;0;0;4455;20385;450;6308;0;0;0;0;0;151320;0;0;12534;0;0;0;0;0;35082;0;0;0;64040;0;541;0;0;0;0;0;0;0;38875;0;3240;0;0;640;0;0;0;222267;0;0;12960;33755;0;0;0;0;0;0;0;0;5646;0;0;18130;0;0;0;0;0;0;604;106426;0;0;0;8281;0;0;0;0;1521;0;0;0;0;0;7179;0;2800;0;165289;0;521847;0;30181;71544;0;305807;190656;0;0;0;0;0;10404;27933;6;0;12519;4500;0;360;0;0;0;0;14;0
2015(L);0;0;10680;1908;0;0;6660;0;0;7437;0;0;0;0;0;4473;0;0;10674;0;0;0;0;0;24547;0;0;0;47609;0;1116;0;0;0;0;0;0;0;97965;0;7080;0;0;765;0;0;0;195896;0;0;0;1596;0;0;0;0;0;0;0;0;0;0;0;1229;0;0;0;0;0;0;0;31597;0;0;0;2295;0;0;0;0;0;0;0;0;0;0;1058;0;809;0;44987;0;495428;0;11654;47736;0;68382;47664;0;0;0;0;0;1412;15872;453;0;7200;2297;0;0;0;0;0;0;0;0
2016(L);0;0;14012;7359;0;0;16641;0;0;1954;675;0;0;0;0;7200;0;5040;13586;0;0;0;0;0;13711;0;0;0;134106;0;5445;0;0;0;0;8;0;0;63741;0;1278;0;0;585;0;0;0;258072;900;0;7617;6037;0;0;0;0;0;0;0;0;0;0;0;6975;0;0;0;0;0;0;585;34341;0;0;0;2759;0;0;0;0;0;0;0;0;0;0;0;0;504;0;42953;0;985739;0;11457;0;0;117044;0;0;0;0;0;0;291;4230;900;0;16967;3837;0;0;0;0;0;0;0;0
2017(L);0;0;15467;10170;0;0;5400;0;0;1350;0;0;0;0;0;2790;0;0;9495;0;0;117;0;1749;6075;13338;0;0;67594;0;0;0;0;0;0;0;0;0;62791;12340;581;0;0;675;0;0;0;132688;0;0;0;4253;0;0;0;0;0;0;0;48;2639;0;0;1934;0;0;0;0;0;0;468;33909;0;387;0;2719;0;0;0;0;664;0;0;0;0;0;0;0;1678;0;0;0;2393468;0;0;0;0;60711;0;0;0;0;0;0;15445;6525;3690;0;14988;2746;0;0;0;0;0;0;680;0
