Ano;Afeganistão;África do Sul;Alemanha, República Democrática;Angola;Anguilla;Antígua e Barbuda;Antilhas Holandesas;Argentina;Aruba;Austrália;Áustria;Bahamas;Bangladesh;Barbados;Barein;Bélgica;Belice;Benin;Bolívia;Bósnia-Herzegovina;Brasil;Bulgária;Cabo Verde;Camarões;Canadá;Catar;Cayman, Ilhas;Chile;China;Chipre;Cingapura;Cocos (Keeling), Ilhas;Colômbia;Comores;Congo;Coreia, Republica Sul;Costa Rica;Croácia;Cuba;Curaçao;Dinamarca;Dominica;El Salvador;Emirados Arabes Unidos;Equador;Eslovaca, Republica;Espanha;Estados Unidos;Estônia;Filipinas;Finlândia;França;Gana;Gibraltar;Granada;Grécia;Guatemala;Guiana;Guiana Francesa;Guine Bissau;Guine Equatorial;Haiti;Honduras;Hong Kong;Hungria;Ilha de Man;India;Indonésia;Irã;Irlanda;Itália;Japão;Letônia;Libéria;Luxemburgo;Malásia;Malta;Marshall, Ilhas;Mauritânia;México;Moçambique;Montenegro;Namibia;Nicaragua;Nigéria;Noruega;Nova Caledônia;Nova Zelândia;Omã;Países Baixos;Panamá;Paraguai;Peru;Polônia;Portugal;Quênia;Reino Unido;Rússia;São Tomé e Príncipe;São Vicente e Granadinas;Serra Leoa;Singapura;Suazilândia;Suécia;Suíça;Suriname;Tailândia;Taiwan (FORMOSA);Tcheca, República;Togo;Trinidade Tobago;Turquia;Tuvalu;Uruguai;Vanuatu;Venezuela;Vietnã
2008(US$);0;0;429970;71083;0;0;22908;0;0;99280;0;0;0;0;0;12969;0;17423;3990;0;0;0;0;0;80476;0;0;0;25926;0;4699;0;0;0;0;14366;200;0;0;0;15905;0;0;12298;0;16063;6834;804607;9730;0;0;27500;25642;0;0;0;0;0;0;0;1417;20;580;13460;0;0;0;0;0;0;0;178333;0;0;42341;0;0;0;0;0;0;0;722;0;10920;0;0;0;0;783635;1882;1374088;0;58353;48942;0;155076;2352768;0;0;0;0;0;84564;216317;1625;0;18679;64709;7800;0;0;0;0;0;0;0
2009(US$);0;0;393482;84235;0;0;10651;4523;0;9195;0;0;0;0;0;58764;0;0;20729;0;0;0;0;0;73445;0;0;4297;482400;0;6110;0;0;0;0;0;0;0;0;0;21780;0;100;4032;0;0;4050;660066;10802;0;0;0;0;0;0;0;20;0;0;0;272;5863;30;27188;0;0;0;0;0;0;5251;283436;0;0;42124;0;0;0;0;0;0;0;0;24;115;0;0;0;0;136991;30;392087;0;35797;168923;0;68788;5732280;0;0;0;0;0;52826;81319;12918;0;0;43902;0;0;0;0;0;0;0;2143
2010(US$);0;0;138666;189891;0;0;12808;0;0;17960;0;12759;0;0;0;185411;0;0;282;0;0;0;49366;0;0;0;0;0;2358;0;5504;0;0;0;0;0;0;0;0;0;69161;0;0;3206;0;0;0;478630;40778;0;0;18904;0;0;0;0;0;3654;0;0;1015;3750;0;0;4103;0;0;0;0;42795;4828;74628;0;0;32549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;302182;0;449197;0;95198;18970;0;295690;0;0;0;0;0;0;0;21600;1269;0;0;5285;0;0;0;0;2929;0;0;9977
2011(US$);0;0;144150;69001;0;0;10188;55460;1680;40704;0;28810;0;0;0;62339;0;0;20215;0;0;0;825;0;128076;0;0;0;334867;0;3317;0;0;0;570;0;0;0;4899;0;83057;0;0;6594;0;0;24618;1030254;5336;0;50394;0;0;0;0;0;0;0;0;0;1979;0;0;7975;0;0;0;0;0;35690;80298;144662;0;0;65592;0;0;0;0;7200;0;0;0;0;210;78688;0;7992;0;395356;0;276281;0;50684;1031;0;285642;0;0;0;0;0;0;14476;0;3735;0;10600;37271;0;0;0;0;4404;0;0;0
2012(US$);0;0;56342;8861;0;0;14081;0;0;56045;0;12087;0;0;0;90718;0;0;16804;0;0;0;0;0;146035;0;0;15438;642177;0;5310;0;0;0;0;0;0;0;0;0;23802;0;0;3300;0;0;0;303986;19384;0;67959;185791;0;0;0;0;0;0;0;0;2530;0;0;7653;0;0;0;0;0;0;5622;116961;0;0;16547;0;0;0;0;0;0;0;0;0;10196;31515;0;8817;0;539641;2262;428279;0;89158;47022;458;334856;2103968;0;0;0;0;0;17280;47240;1288;0;0;27789;0;2720;0;0;3879;0;7492;0
2013(US$);0;0;265978;9300;0;0;19565;0;0;101715;0;5145;0;0;0;95893;0;0;25998;0;0;0;0;0;174643;0;0;0;279956;0;5779;0;30;0;0;0;0;0;0;0;101915;0;0;0;0;0;3748940;786556;0;0;283114;42256;0;0;0;0;0;0;0;0;5336;0;0;61224;0;0;0;0;0;0;11967;429088;0;0;29474;0;0;0;0;0;0;0;0;0;2245;19008;0;4092;0;255690;0;680828;0;90960;17627;4;305005;14795694;0;0;0;0;0;20183;29785;2960;0;0;23549;0;0;0;0;13343;0;0;0
2014(US$);0;0;761653;23124;0;0;7169;95130;755;43709;0;0;0;0;0;704093;0;0;18303;0;0;0;0;0;226875;0;0;0;455340;0;3887;0;0;0;0;0;0;0;43200;0;16871;0;0;3381;0;0;0;494216;0;0;94962;167807;0;0;0;0;0;0;0;0;11983;0;0;63534;0;0;0;0;0;0;2492;401774;0;0;52400;0;0;0;0;24336;0;0;0;0;0;50464;0;13675;0;773767;0;908028;0;107957;79141;0;1373747;61440;0;0;0;0;0;51057;231762;19;0;67907;35005;0;1600;0;0;0;0;232;0
2015(US$);0;0;44780;17089;0;0;10545;0;0;48011;0;0;0;0;0;26399;0;0;12990;0;0;0;0;0;118394;0;0;0;222866;0;2774;0;0;0;0;0;0;0;108864;0;29306;0;0;3740;0;0;0;524109;0;0;0;4749;0;0;0;0;0;0;0;0;0;0;0;7837;0;0;0;0;0;0;0;87853;0;0;17358;0;0;0;0;0;0;0;0;0;0;6021;0;3476;0;186464;0;741370;0;42781;42586;0;308407;18240;0;0;0;0;0;6404;85790;713;0;23940;15304;0;0;0;0;0;0;0;0
2016(US$);0;0;68109;35390;0;0;26450;0;0;13799;5220;0;0;0;0;46534;0;20333;16902;0;0;0;0;0;71096;0;0;0;499622;0;13199;0;0;0;0;20;0;0;69830;0;8171;0;0;2760;0;0;0;687411;4800;0;41003;30055;0;0;0;0;0;0;0;0;0;0;0;86199;0;0;0;0;0;0;3465;90954;0;0;21426;0;0;0;0;0;0;0;0;0;0;0;0;9472;0;190203;0;1655417;0;35402;0;0;536681;0;0;0;0;0;0;1214;33340;1375;0;80379;28473;0;0;0;0;0;0;0;0
2017(US$);0;0;87702;61680;0;0;8550;0;0;7500;0;0;0;0;0;16405;0;0;23085;0;0;1579;0;7476;30658;81606;0;0;266086;0;0;0;0;0;0;0;0;0;72229;23011;2829;0;0;3302;0;0;0;1523699;0;0;0;21654;0;0;0;0;0;0;0;90;30563;0;0;8180;0;0;0;0;0;0;2248;92886;3723;0;21947;0;0;0;0;2292;0;0;0;0;0;0;0;8140;0;0;0;4274650;0;0;0;0;242883;0;0;0;0;0;0;64953;74816;5638;0;43954;16947;0;0;0;0;0;0;2646;0
